Id,Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%
fedunta01,226,Taylor Fedun,29.0,DAL,D,23.2,1.2,4.6,5.8,1.6,8.0,1.3399999999999999,1.2,0.0,0.0,0.0,3.4,1.0,0.2,31.6,2.425
fehrer01,227,Eric Fehr,31.5,MIN,RW,49.5,6.0,5.0,11.0,0.0,16.25,0.825,5.0,0.0,1.0,1.25,4.5,0.25,0.25,57.5,10.5
engvapi01,228,Pierre Engvall,23.0,TOR,LW,48.0,8.0,7.0,15.0,4.0,6.0,1.4,7.0,0.0,1.0,3.0,6.0,0.0,1.0,72.0,11.1
ferlami01,229,Micheal Ferland,25.0,VAN,LW,61.8,11.6,14.2,25.8,-0.2,36.8,2.54,8.6,3.0,0.0,0.8,12.2,2.0,0.0,108.6,9.940000000000001
ferrala01,230,Landon Ferraro,25.0,MIN,C,35.0,3.0,2.5,5.5,-5.0,13.5,0.1,3.0,0.0,0.0,0.5,2.5,0.0,0.0,40.0,19.9
fialake01,231,Kevin Fiala,21.0,MIN,LW,57.2,14.2,17.4,31.6,-0.6,24.4,3.2600000000000002,11.2,3.0,0.0,2.2,12.0,5.4,0.0,132.2,10.32
fiddlve01,232,Vernon Fiddler,35.5,TOT,LW,70.5,7.0,6.0,13.0,-5.0,48.5,0.6499999999999999,5.0,0.5,1.5,0.0,4.5,0.5,1.0,73.0,8.2
fischch01,232,Christian Fischer,20.5,ARI,RW,53.25,8.75,7.0,15.75,-7.0,14.25,1.3,7.5,1.25,0.0,1.25,6.25,0.75,0.0,90.75,14.1
filppva01,233,Valtteri Filppula,33.0,DET,C,75.6,10.8,20.8,31.6,-7.4,26.4,2.2,9.2,1.0,0.6,2.2,16.6,3.8,0.4,81.8,13.459999999999999
fishemi01,234,Mike Fisher,36.0,NSH,C,52.666666666666664,11.0,12.0,23.0,-4.333333333333333,30.666666666666668,2.1666666666666665,7.666666666666667,3.3333333333333335,0.0,2.0,7.666666666666667,4.0,0.3333333333333333,77.33333333333333,14.200000000000001
fleisto01,235,Tomas Fleischmann,31.0,TOT,LW,76.0,14.0,11.0,25.0,-8.0,32.0,2.1,13.0,0.0,1.0,3.0,10.0,1.0,0.0,123.0,11.4
flynnbr01,236,Brian Flynn,27.5,MTL,C,53.5,5.0,5.0,10.0,-0.5,5.0,0.55,4.5,0.0,0.5,0.0,4.5,0.0,0.5,60.0,9.15
foligma01,237,Marcus Foligno,26.0,MIN,LW,74.6,9.8,12.8,22.6,2.4,61.8,2.0,9.0,0.2,0.6,0.8,11.8,0.8,0.2,86.8,11.26
foligni01,238,Nick Foligno,30.0,CBJ,LW,72.6,16.0,21.4,37.4,-1.6,52.8,3.5,12.6,3.4,0.0,2.2,15.4,5.8,0.2,148.6,10.559999999999999
folinch01,239,Christian Folin,26.0,MTL,D,40.6,1.2,5.4,6.6,3.0,21.4,1.6199999999999999,1.2,0.0,0.0,0.0,5.2,0.0,0.2,34.2,3.6
farabjo01,239,Joel Farabee,19.0,PHI,LW,52.0,8.0,13.0,21.0,6.0,39.0,1.9,7.0,1.0,0.0,1.0,12.0,1.0,0.0,81.0,9.9
fontaju01,240,Justin Fontaine,28.0,MIN,RW,60.0,5.0,11.0,16.0,3.0,20.0,1.4,5.0,0.0,0.0,1.0,10.0,0.0,1.0,54.0,9.3
forslgu02,241,Gustav Forsling,21.0,CHI,D,40.666666666666664,2.6666666666666665,6.333333333333333,9.0,-2.6666666666666665,14.0,1.4333333333333333,2.3333333333333335,0.3333333333333333,0.0,0.3333333333333333,4.666666666666667,1.3333333333333333,0.3333333333333333,62.333333333333336,4.3999999999999995
forbode01,241,Derek Forbort,25.0,TOT,D,55.0,1.2,9.4,10.6,1.4,35.2,2.88,1.2,0.0,0.0,0.2,9.2,0.0,0.2,57.8,2.62
forsbfi01,242,Filip Forsberg,23.0,NSH,C,71.6,27.8,29.0,56.8,5.0,34.4,7.0200000000000005,19.0,7.6,1.2,4.8,21.0,7.8,0.2,215.0,12.919999999999998
fabbrda01,242,Dante Fabbro,20.5,NSH,D,34.0,3.0,3.0,6.0,-4.0,19.0,0.95,2.5,0.5,0.0,0.0,3.0,0.0,0.0,48.5,12.7
fowleca01,243,Cam Fowler,26.0,ANA,D,66.8,7.6,22.6,30.2,-2.4,23.0,5.64,4.8,2.4,0.4,1.6,13.2,8.8,0.6,125.2,6.0600000000000005
